date,char,roll,dice
2020-09-22 22:38,Caris,4,1d6+3
2020-09-22 22:38,Kalain,5,1d6+2
2020-09-22 22:38,Kalain,6,1d6+2
2020-09-22 22:38,Caris,8,1d6+3
2020-09-22 22:38,Kalain,5,1d6+2
2020-09-22 22:38,Kalain,4,1d6+2
2020-09-22 23:25,Tanus,4,d20
2020-09-22 23:25,Kalain,4,d20
2020-09-22 23:26,Caris,4,d20
2020-09-22 23:26,Faroon,16,d20
2020-09-22 23:32,Kalain,10,d20
2020-09-22 23:32,Kalain,11,d20
2020-09-22 23:41,Caris,5,d20
2020-09-22 23:41,Caris,5,d20
2020-09-30 21:52,Kalain,16,d20
2020-09-30 21:52,Kalain,13,d20
2020-09-30 21:54,Faroon,5,na
2020-09-30 21:54,Faroon,14,d20
2020-09-30 22:00,Kalain,1,d20
2020-09-30 22:00,Kalain,1,d20
2020-09-30 22:24,Caris,20,d20
2020-09-30 22:28,Tanus,16,d20
2020-09-30 22:31,Kalain,4,d20
2020-09-30 22:35,Caris,19,d20
2020-09-30 22:37,Faroon,18,d20
2020-09-30 22:37,Faroon,7,1d6+3
2020-09-30 22:42,Kalain,3,1d6+2
2020-09-30 22:42,Tanus,9,1d6+3
2020-09-30 22:42,Caris,5,1d6+3
2020-09-30 22:48,Kalain,4,1d6+2
2020-09-30 22:52,Faroon,6,na
2020-09-30 22:52,Faroon,9,d20
2020-09-30 22:52,Faroon,6,na
2020-09-30 22:52,Faroon,19,d20
2020-09-30 23:26,Kalain,8,d20
2020-10-08 21:46,Tanus,1,d20
2020-10-08 21:54,Kalain,17,d20
2020-10-08 21:55,Tanus,19,d20
2020-10-08 22:05,Tanus,5,1d6+3
2020-10-08 22:05,Kalain,4,1d6+2
2020-10-08 22:19,Caris,17,d20
2020-10-08 22:58,Tanus,8,d20
2020-10-08 22:58,Tanus,8,d20
2020-10-08 22:58,Tanus,8,d20
2020-10-08 22:58,Tanus,8,d20
2020-10-08 22:58,Tanus,8,d20
2020-10-08 22:58,Tanus,8,d20
2020-10-08 22:58,Tanus,8,d20
2020-10-08 22:58,Tanus,8,d20
2020-10-08 22:58,Tanus,8,d20
2020-10-08 22:58,Tanus,8,d20
2020-10-13 22:15,Faroon,2,d20
2020-10-13 22:17,Caris,13,d20
2020-10-13 22:17,Tanus,11,d20
2020-10-13 22:18,Kalain,14,d20
2020-10-13 22:49,Kalain,8,1d6+2
2020-10-13 22:49,Tanus,4,d20
2020-10-13 23:00,Faroon,10,d20
2020-10-13 23:15,Tanus,4,d20
2020-10-13 23:15,Tanus,14,d20
2020-10-13 23:28,Faroon,7,d20
2020-10-13 23:32,Kalain,13,d20
2020-10-13 23:32,Kalain,8,d20
2020-10-13 23:32,Kalain,4,d20
2020-10-16 14:33,Faroon,17,d20
2020-10-16 14:33,Faroon,17,d20
2020-10-16 14:33,Faroon,8,d20
2020-10-20 21:53,Caris,2,d20
2020-10-20 21:53,Caris,8,d20
2020-10-20 21:56,Kalain,20,d20
2020-10-20 22:11,Caris,9,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:11,Caris,12,d20
2020-10-20 22:29,Tanus,19,d20
2020-10-20 22:29,Tanus,13,d20
